Name,Website,Country,Publisher,Language,Year_Start,panels,Level
Enterprise information systems,http://www.tandfonline.com/loi/teis20,UNITED KINGDOM,Taylor & Francis,English,2007.0,2,2
Entrepreneurship and regional development,http://www.tandfonline.com/toc/tepn20/current,UNITED KINGDOM,Taylor & Francis,English,1989.0,16,2
Entrepreneurship theory and practice,https://journals.sagepub.com/home/etp,UNITED STATES,SAGE,English,1988.0,16,3
Environment and behavior,http://eab.sagepub.com/,UNITED STATES,SAGE,English,1969.0,17,2
Environment and history,http://www.erica.demon.co.uk/EH.html,UNITED KINGDOM,White Horse Press,English,1995.0,23,2
Environment and planning a,https://journals.sagepub.com/home/EPN,UNITED KINGDOM,SAGE,English,1974.0,17,3
Environment and planning d : society and space,https://journals.sagepub.com/home/EPD,UNITED KINGDOM,SAGE,English,1983.0,17,3
Environment international,http://www.journals.elsevier.com/environment-international/#description,UNITED STATES,Pergamon Press,English,1978.0,5,3
Environmental and resource economics,http://springerlink.metapress.com/openurl.asp?genre=journal&amp;issn=0924-6460,NETHERLANDS,Springer Nature,English,1991.0,16,2
Environmental archaeology,http://www.maneyonline.com/index.php/journals/env/,UNITED KINGDOM,Taylor & Francis,English,1998.0,23,2
Environmental education research,http://www.tandfonline.com/loi/ceer20,UNITED KINGDOM,Taylor & Francis,English,1995.0,18,3
Environmental ethics,http://www.cep.unt.edu/enethics.html,UNITED STATES,John Muir Institute for Environmental Studies,English,1979.0,20,2
Environmental health perspectives,http://ehp.niehs.nih.gov/,UNITED STATES,National Institute of Environmental Health Sciences (NIEHS),English,1972.0,14,3
Environmental history,http://envhis.oxfordjournals.org/,UNITED STATES,American Society for Environmental History and Forest History Society,English,1996.0,23,3
Environmental impact assessment review,http://www.elsevier.com/locate/eiar,UNITED STATES,Elsevier,English,1980.0,17,2
Environmental microbiology,http://www.wiley.com/WileyCDA/WileyTitle/productCd-EMI.html,UNITED KINGDOM,Wiley-Blackwell,English,1999.0,7,2
Environmental modelling and software,http://www.journals.elsevier.com/environmental-modelling-and-software/#description,UNITED KINGDOM,Elsevier,English,1997.0,10,2
Environmental policy and governance,http://www.wiley.com/WileyCDA/WileyTitle/productCd-EET.html,UNITED KINGDOM,John Wiley & Sons,English,2009.0,17,2
Environmental politics,http://www.tandfonline.com/toc/fenp20/current,UNITED KINGDOM,Routledge,English,1992.0,19,2
Environmental pollution,http://www.journals.elsevier.com/environmental-pollution/#description,UNITED KINGDOM,Elsevier,English,1987.0,5,2
Environmental research,http://www.elsevier.com/wps/find/journaldescription.cws_home/622821/description,UNITED STATES,Elsevier,English,1967.0,14,2
Environmental research letters,http://iopscience.iop.org/1748-9326/,UNITED KINGDOM,Institute of Physics Publishing,English,2006.0,5,3
Environmental science and policy,http://www.elsevier.com/wps/find/journaldescription.cws_home/601264/description#description,UNITED KINGDOM,Elsevier,English,1998.0,17,2
Environmental science and technology,http://pubs.acs.org/journal/esthag,UNITED STATES,American Chemical Society,English,1967.0,10,2
Environmental toxicology and chemistry,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-8618/homepage/ProductInformation.html,UNITED STATES,John Wiley & Sons,English,1982.0,5,3
Environmental values,http://www.erica.demon.co.uk/EV.html,UNITED KINGDOM,White Horse Press,English,1992.0,20,3
Environmetrics,http://eu.wiley.com/WileyCDA/WileyTitle/productCd-ENV.html,UNITED KINGDOM,Wiley-Blackwell,English,1990.0,1,2
Epidemiology and psychiatric sciences,http://journals.cambridge.org/action/displayJournal?jid=EPS,UNITED KINGDOM,Cambridge University Press,English,2011.0,13,2
Epidemiologic reviews,http://epirev.oxfordjournals.org/,UNITED STATES,Oxford University Press,English,1979.0,14,2
Epidemiology,http://www.epidem.com,UNITED STATES,Lippincott,English,1990.0,14,3
Epilepsia,http://www.epilepsia.com/,DENMARK,John Wiley & Sons,English,1909.0,13,2
Equine veterinary journal,http://www.evj.co.uk/journals/equine_veterinary_journal.htm,UNITED KINGDOM,John Wiley & Sons,English,1968.0,15,2
Ergodic theory and dynamical systems,http://journals.cambridge.org/action/displayJournal?jid=ETS,UNITED KINGDOM,Cambridge University Press,English,1981.0,1,2
Erkenntnis,http://springerlink.metapress.com/openurl.asp?genre=journal&amp;issn=0165-0106,NETHERLANDS,Springer Nature,Multiple languages,1975.0,20,3
Esprit createur,http://www.press.jhu.edu/journals/lesprit_createur/,UNITED STATES,"University of Kentucky, Office of Publication",French,1961.0,22,2
Esq: a journal of the american renaissance,http://libarts.wsu.edu/english/Journals/ESQ/,UNITED STATES,"Washington State University, Dept. of English",English,1969.0,22,2
Essays in criticism,https://academic.oup.com/eic,UNITED KINGDOM,Oxford University Press,English,1951.0,22,3
Estetika: the European journal of aesthetics,https://estetikajournal.org/,FINLAND,Helsinki University Press,English,1964.0,20,2
Estudos ibero-americanos,http://revistaseletronicas.pucrs.br/iberoamericana/ojs/index.php/iberoamericana,BRAZIL,Pontifícia Universidade Católica do Rio Grande do Sul,Portuguese,1975.0,23,2
Ethical theory and moral practice,http://springerlink.metapress.com/openurl.asp?genre=journal&amp;issn=1386-2820,NETHERLANDS,Springer Nature,English,1998.0,20,2
Ethics,http://www.journals.uchicago.edu/toc/et/current,UNITED STATES,University of Chicago Press,English,1938.0,20,3
Ethics and information technology,http://springerlink.metapress.com/openurl.asp?genre=journal&amp;issn=1388-1957,NETHERLANDS,Springer Nature,English,1999.0,20,2
Ethnic and racial studies,http://www.tandfonline.com/loi/rers20,UNITED KINGDOM,Routledge,English,1978.0,23,3
Ethnicities,http://etn.sagepub.com/,UNITED KINGDOM,SAGE,English,2001.0,23,3
Ethnography,http://eth.sagepub.com/,UNITED KINGDOM,SAGE,English,2000.0,23,2
Ethnography and education,http://www.tandfonline.com/loi/reae20,UNITED KINGDOM,Routledge,English,2006.0,18,2
Ethnohistory,http://ethnohistory.dukejournals.org,UNITED STATES,Ohio Valley Historic Indian Conference,English,1954.0,23,2
Ethnologia europaea,http://www.mtp.hum.ku.dk/tidsskrift.asp?issn=0425-4597,DENMARK,Ethnologia Europaea,Multiple languages,1966.0,23,3
Ethnologia fennica,http://www.ethnosry.org/julkaisut/ethnologia-fennica,FINLAND,Ethnos ry,Multiple languages,1971.0,23,2
Ethnologia scandinavica,http://www.kgaa.nu/tidskrift.php?id=5,SWEDEN,Folklivsarkivet,English,1971.0,23,2
Ethnology,http://www.pitt.edu/~ethnolog,UNITED STATES,University of Pittsburgh,English,1962.0,23,2
Ethnomusicology,http://www.press.uillinois.edu/journals/ethno.html,UNITED STATES,University of Illinois Press,English,1953.0,22,3
Ethnomusicology forum,http://www.tandfonline.com/loi/remf20,UNITED KINGDOM,Routledge,English,2004.0,22,3
Ethnopolitics,http://www.tandfonline.com/loi/reno20,UNITED KINGDOM,Taylor & Francis,English,2005.0,19,2
Ethnos,http://www.tandfonline.com/toc/retn20/current,UNITED KINGDOM,Routledge,English,1936.0,23,3
Ethos,http://www.wiley.com/bw/journal.asp?ref=0091-2131&amp;site=1,UNITED STATES,John Wiley & Sons,English,1973.0,23,2
Etnografia polska,,POLAND,"Institute of Archaeology and Ethnology, Polish Academy of Sciences",Polish,1958.0,23,2
Educational technology research and development,https://www.springer.com/journal/11423,UNITED STATES,Springer Nature,English,1989.0,18,2
Etudes classiques,http://www.lesetudesclassiques.be/index.php/lec,BELGIUM,Société des études classiques,French,1932.0,22,2
Etudes francaises,http://www.erudit.org/revue/etudfr,CANADA,Presses de l'Université de Montréal,French,1965.0,22,2
Etudes phenomenologiques,http://www.sofi.ucl.ac.be/CEP/cep2.html,BELGIUM,Peeters Publishers,French,1985.0,20,2
Etudes photographiques,http://etudesphotographiques.revues.org/,FRANCE,Société française de photographie,French,1996.0,22,2
Euphorion: zeitschrift fur literaturgeschichte,http://www.winter-verlag.de/en/programm/zeitschriften/euphorion/,GERMANY,Winter,Multiple languages,1950.0,22,3
Eurasian geography and economics,http://www.tandfonline.com/loi/rege20,UNITED STATES,Taylor & Francis,English,2002.0,17,2
Europace,http://europace.oxfordjournals.org/,UNITED KINGDOM,Oxford University Press,English,1999.0,12,2
Europarecht,http://www.europarecht-online.info,GERMANY,Nomos-Verlagsgesellschaft,German,1966.0,19,2
European accounting review,http://www.tandfonline.com/loi/rear20,UNITED KINGDOM,Routledge,English,1992.0,16,2
European business law review,http://www.kluwerlawonline.com/productinfo.php?pubcode=EULR,NETHERLANDS,Kluwer Law International,English,1990.0,19,3
European child and adolescent psychiatry,http://www.springer.com/steinkopff/psychiatrie/journal/787,GERMANY,Springer Nature,English,1992.0,13,2
European conference on computer vision,https://eccv2024.ecva.net/,,,,,2,2
European Conference on Information Retrieval,http://ecir2012.upf.edu/,,,,,2,2
European constitutional law review,http://www.journals.cambridge.org/jid_ECL,NETHERLANDS,Cambridge University Press,English,2005.0,19,3
European early childhood education research journal,http://www.tandfonline.com/loi/recr20,UNITED KINGDOM,Taylor & Francis,English,1993.0,18,2
European economic review,http://www.elsevier.com/locate/eer,UNITED STATES,Elsevier,English,1969.0,16,2
European educational research journal,http://eer.sagepub.com/,UNITED KINGDOM,SAGE,English,2002.0,18,2
European financial management,http://www.wiley.com/WileyCDA/WileyTitle/productCd-EUFM.html,UNITED KINGDOM,Wiley-Blackwell,English,1995.0,16,2
European heart journal,http://eurheartj.oxfordjournals.org/,UNITED KINGDOM,Oxford University Press,English,1980.0,12,3
European history quarterly,http://ehq.sagepub.com/,UNITED KINGDOM,SAGE,English,1984.0,23,3
European human rights law review,http://www.sweetandmaxwell.co.uk/Catalogue/ProductDetails.aspx?recordid=388&amp;productid=6823,UNITED KINGDOM,Sweet & Maxwell,English,1995.0,19,2
European journal of ageing,http://www.springer.com/social+sciences/aging/journal/10433,GERMANY,Springer Nature,English,2004.0,14,2
European journal of agronomy,http://www.elsevier.com/locate/eja,NETHERLANDS,Elsevier,English,1992.0,15,3
European journal of archaeology,http://www.maneyonline.com/index.php/journals/eja/,UNITED KINGDOM,Routledge,English,1998.0,23,3
European journal of cancer,http://www.journals.elsevier.com/european-journal-of-cancer/#description,UNITED KINGDOM,Pergamon Press,English,1990.0,12,2
European journal of preventive cardiology,,UNITED KINGDOM,Oxford University Press,English,2012.0,12,2
European journal of combinatorics,http://www.journals.elsevier.com/european-journal-of-combinatorics/,NETHERLANDS,Elsevier,English,1980.0,1,2
European journal of communication,http://ejc.sagepub.com/,UNITED KINGDOM,SAGE,English,1986.0,17,3
"European journal of crime, criminal law and criminal justice",http://www.brill.nl/eccl,NETHERLANDS,Brill Nijhoff,English,1993.0,19,2
European journal of criminology,http://euc.sagepub.com/,UNITED KINGDOM,SAGE,English,2004.0,19,2
European journal of cultural studies,http://ecs.sagepub.com/,UNITED KINGDOM,SAGE,English,1998.0,23,2
European journal of education,http://www.wiley.com/WileyCDA/WileyTitle/productCd-EJED.html,UNITED KINGDOM,John Wiley & Sons,English,1979.0,18,2
European journal of endocrinology,http://www.eje-online.org/,UNITED KINGDOM,Oxford University Press,English,1994.0,12,3
European journal of English studies,http://www.tandfonline.com/loi/neje20,UNITED KINGDOM,Routledge,English,1997.0,22,2
European journal of epidemiology,http://springerlink.metapress.com/openurl.asp?genre=journal&amp;issn=0393-2990,ITALY,Springer Nature,English,1985.0,14,3
European journal of forest research,http://www.springeronline.com/journal/10342,GERMANY,Springer Nature,English,2004.0,15,2
European journal of health law,http://www.brill.nl/ejhl,NETHERLANDS,Brill,Dutch,1994.0,19,2
European journal of heart failure,http://eurjhf.oxfordjournals.org,NETHERLANDS,John Wiley & Sons,English,1999.0,12,3
European journal of human genetics,http://www.nature.com/ejhg/index.html,SWITZERLAND,Springer Nature,English,1993.0,11,2
European journal of information systems,http://www.palgrave-journals.com/ejis,UNITED KINGDOM,Taylor & Francis,English,1991.0,2,3
European journal of international law,http://ejil.oxfordjournals.org/,UNITED KINGDOM,Oxford University Press,English,1990.0,19,3
European journal of international relations,http://ejt.sagepub.com/,UNITED KINGDOM,SAGE,English,1995.0,19,3
European journal of marketing,http://www.emeraldinsight.com/products/journals/journals.htm?id=ejm,UNITED KINGDOM,Emerald Publishing,English,1971.0,16,2
European journal of mechanics a: solids,http://www.elsevier.com/locate/ejmsol,FRANCE,Elsevier,English,1989.0,8,2
European journal of medicinal chemistry,http://www.elsevier.com/locate/ejmech,FRANCE,Elsevier,Multiple languages,1974.0,11,2
European journal of migration and law,http://www.brill.nl/emil,NETHERLANDS,Brill Nijhoff,English,1999.0,19,2
European journal of neurology,http://www.wiley.com/WileyCDA/WileyTitle/productCd-ENE.html,UNITED KINGDOM,John Wiley & Sons,English,1994.0,13,2
European journal of neuroscience,http://www.wiley.com/WileyCDA/WileyTitle/productCd-EJN.html,UNITED KINGDOM,John Wiley & Sons,English,1989.0,11,2
European journal of nuclear medicine and molecular imaging,http://www.springer.com/medicine/nuclear+medicine/journal/259,GERMANY,Springer Nature,English,2002.0,13,3
European journal of nutrition,http://www.springer.com/steinkopff/journal/394,GERMANY,Springer Nature,English,1999.0,14,2
European journal of oncology nursing,http://www.ejoncologynursing.com/,UNITED KINGDOM,Elsevier,English,1998.0,14,2
European journal of operational research,http://www.elsevier.com/locate/ejor,NETHERLANDS,Elsevier,English,1977.0,16,2
European journal of oral sciences,http://www3.interscience.wiley.com/journal/118505323/home,UNITED KINGDOM,Wiley-Blackwell,English,1995.0,13,2
European journal of personality,http://eu.wiley.com/WileyCDA/WileyTitle/productCd-PER.html,UNITED KINGDOM,SAGE,English,1987.0,18,2
European journal of pharmaceutical sciences,http://www.elsevier.com/locate/ejps,NETHERLANDS,Elsevier,English,1993.0,11,3
European journal of pharmaceutics and biopharmaceutics,http://www.elsevier.com/locate/ejpb,GERMANY,Elsevier,Multiple languages,1991.0,11,2
European journal of pharmacology,http://www.elsevier.com/locate/ejphar,NETHERLANDS,Elsevier,English,1967.0,11,2
European journal of philosophy,http://www.wiley.com/WileyCDA/WileyTitle/productCd-EJOP.html,UNITED KINGDOM,Wiley-Blackwell,English,1993.0,20,3
European journal of political research,http://www.wiley.com/bw/journal.asp?ref=0304-4130,UNITED KINGDOM,Wiley-Blackwell,English,1973.0,19,3
European journal of political theory,http://ept.sagepub.com/,UNITED KINGDOM,SAGE,English,2002.0,19,2
European journal of population-revue europeenne de demographie,http://springerlink.metapress.com/openurl.asp?genre=journal&amp;issn=0168-6577,NETHERLANDS,Springer Nature,Multiple languages,1985.0,17,2
European journal of public health,http://eurpub.oxfordjournals.org/,UNITED KINGDOM,Oxford University Press,English,1991.0,14,2
European journal of social psychology,"http://eu.wiley.com/WileyCDA/WileyTitle/productCd-EJSP,subjectCd-PS44.html",UNITED KINGDOM,John Wiley & Sons,English,1971.0,17,3
European journal of social theory,http://est.sagepub.com/,UNITED KINGDOM,SAGE,English,1998.0,17,2
European journal of social work,http://www.tandfonline.com/loi/cesw20,UNITED KINGDOM,Routledge,English,1998.0,17,2
European journal of soil science,http://www.wiley.com/WileyCDA/WileyTitle/productCd-EJSS.html,UNITED KINGDOM,Wiley-Blackwell,English,1994.0,15,2
European journal of special needs education,http://www.tandfonline.com/toc/rejs20/current,UNITED KINGDOM,Taylor & Francis,English,1986.0,18,2
European journal of sport science,http://www.tandfonline.com/loi/tejs20,UNITED KINGDOM,Taylor & Francis,English,2001.0,14,2
European journal of teacher education,http://www.tandfonline.com/loi/cete20,UNITED KINGDOM,Routledge,English,1982.0,18,3
European journal of vascular and endovascular surgery,http://www.ejves.com/,UNITED KINGDOM,Elsevier,English,1995.0,13,2
European journal of women`s studies,http://ejw.sagepub.com/,UNITED KINGDOM,SAGE,English,1994.0,17,3
European journal of work and organizational psychology,http://www.tandfonline.com/loi/pewo20,UNITED KINGDOM,Taylor & Francis,English,1996.0,18,2
European law journal,http://www.wiley.com/WileyCDA/WileyTitle/productCd-EULJ.html,UNITED KINGDOM,Wiley-Blackwell,English,1995.0,19,3
European law review,https://www.sweetandmaxwell.co.uk/Product/Academic-Law/European-Law-Review/Journal/30791372,UNITED KINGDOM,Sweet & Maxwell,English,1975.0,19,3
European legacy: toward new paradigms,http://www.tandfonline.com/loi/cele20,UNITED KINGDOM,Taylor & Francis,English,1996.0,23,2
European management journal,http://www.journals.elsevier.com/european-management-journal/#description,GERMANY,Elsevier,English,1982.0,16,2
European physical education review,http://epe.sagepub.com/,UNITED KINGDOM,SAGE,English,1995.0,18,2
European physical journal a,http://link.springer.de/link/service/journals/10050/index.htm,GERMANY,Springer Nature,English,1998.0,3,2
European physical journal c,http://epjc.edpsciences.org,GERMANY,Springer Nature,English,1998.0,3,2
European planning studies,http://www.tandfonline.com/loi/ceps20,UNITED KINGDOM,Taylor & Francis,English,1993.0,17,2
European political science review,http://journals.cambridge.org/action/displayJournal?jid=EPR,UNITED KINGDOM,Cambridge University Press,English,2009.0,19,2
European psychiatry,http://www.elsevier-masson.fr/product_info.php?manufacturers_id=&amp;products_id=5221,FRANCE,Cambridge University Press,English,1991.0,13,2
European psychologist,http://www.hogrefe.com/periodicals/european-psychologist/,GERMANY,Hogrefe Publishers,English,1996.0,18,2
European public law,http://www.kluwerlawonline.com/productinfo.php?pubcode=EURO,UNITED KINGDOM,Wolters Kluwer,English,1995.0,19,2
European radiology,http://www.springer.com/medicine/radiology/journal/330,GERMANY,Springer Nature,English,1991.0,13,2
European respiratory journal,http://www.maneyonline.com/index.php/journals/erj/,INTERNATIONAL,European Respiratory Society,English,1988.0,12,3
European review of agricultural economics,http://erae.oxfordjournals.org/,UNITED KINGDOM,Oxford University Press,English,1973.0,15,2
European review of contract law,http://www.degruyter.de/journals/ercl/detailEn.cfm,GERMANY,De Gruyter,Multiple languages,2005.0,19,2
European review of economic history,http://ereh.oxfordjournals.org/,UNITED KINGDOM,Oxford University Press,English,1996.0,23,2
European review of history-revue europeenne d histoire,http://www.tandfonline.com/loi/cerh20,UNITED KINGDOM,Taylor & Francis,English,1994.0,23,3
European review of private law,http://www.kluwerlawonline.com/productinfo.php?pubcode=ERPL,NETHERLANDS,Wolters Kluwer,Miscellaneous languages,1993.0,19,2
European romantic review,http://www.tandfonline.com/loi/gerr20,UNITED KINGDOM,Taylor & Francis,English,1990.0,22,2
European societies,http://www.tandfonline.com/loi/reus20,UNITED KINGDOM,Routledge,English,1999.0,17,2
European sociological review,http://esr.oxfordjournals.org/,UNITED KINGDOM,Oxford University Press,English,1985.0,17,3
European Software Engineering Conference,http://2011.esec-fse.org/,,,,,2,2
European Symposia on Algorithms,http://esa-symposium.org/,,,,,2,2
European union politics,http://eup.sagepub.com/,UNITED KINGDOM,SAGE,English,2000.0,19,2
European urban and regional studies,http://eur.sagepub.com/,UNITED KINGDOM,SAGE,English,1994.0,17,2
European urology,http://www.elsevier.com/locate/eururo,SWITZERLAND,Elsevier,English,1975.0,12,3
Europe-asia studies,http://www.tandfonline.com/toc/ceas20/current,UNITED KINGDOM,Taylor & Francis,English,1993.0,17,3
Eurosurveillance,http://www.eurosurveillance.org/Public/Articles/Archives.aspx,INTERNATIONAL,Publications Office,English,1995.0,11,2
Evolution,http://www.blackwellpublishing.com/journal.asp?ref=0014-3820&amp;site=1,UNITED STATES,Oxford University Press,English,1947.0,6,3
Evolution and human behavior,http://www.elsevier.com/wps/find/journaldescription.cws_home/505760/description#description,UNITED STATES,Elsevier,English,1997.0,18,2
Evolutionary anthropology,http://www3.interscience.wiley.com/journal/38641/home,UNITED STATES,John Wiley & Sons,English,1992.0,23,3
Evolutionary applications,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1752-4571,UNITED KINGDOM,Wiley-Blackwell,English,2008.0,6,2
Evolutionary computation,http://www.mitpressjournals.org/loi/evco,UNITED STATES,MIT Press,English,1993.0,2,2
Exceptional children,http://www.cec.sped.org/Content/NavigationMenu/Publications2/ExceptionalChildren/,UNITED STATES,SAGE,English,1951.0,18,3
Exchange: journal of missiological and ecumenical research,http://www.brill.nl/exchange,NETHERLANDS,Brill,English,1972.0,20,2
Experimental dermatology,http://as.wiley.com/WileyCDA/WileyTitle/productCd-EXD.html,UNITED KINGDOM,Wiley-Blackwell,English,1992.0,12,2
Experimental economics,http://www.springer.com/economics/economic+theory/journal/10683,NETHERLANDS,Springer Nature,English,1998.0,16,2
Expert systems with applications,http://www.journals.elsevier.com/expert-systems-with-applications/#description,UNITED KINGDOM,Pergamon Press,English,1990.0,2,2
Explorations in economic history,http://www.elsevier.com/wps/find/journaldescription.cws_home/622830/description,UNITED STATES,Elsevier,English,1969.0,23,3
Extrapolation,http://www.liverpooluniversitypress.co.uk/index.php?option=com_content&amp;view=article&amp;id=78%3Aextrapolation&amp;catid=8&amp;Itemid=21,UNITED KINGDOM,Liverpool University Press,English,1959.0,22,2
Fabula,http://www.degruyter.de/rs/274_5341_ENU_h.htm,GERMANY,De Gruyter,Multiple languages,1957.0,23,2
Fachsprache,http://www.fachsprache.net,AUSTRIA,Wilhelm Braumüller,Multiple languages,1990.0,21,2
Facilities,http://www.emeraldinsight.com/products/journals/journals.htm?id=f,UNITED KINGDOM,Emerald Publishing,English,1983.0,22,2
Faith and philosophy,http://www.pdcnet.org/faithphil,UNITED STATES,Society of Christian Philosophers,English,1984.0,20,2
Family business review,http://fbr.sagepub.com,UNITED STATES,SAGE,English,1988.0,16,2
Family process,https://onlinelibrary.wiley.com/journal/15455300,UNITED STATES,John Wiley & Sons,English,1962.0,17,2
Family relations,https://onlinelibrary.wiley.com/journal/17413729,UNITED STATES,Wiley-Blackwell,English,1980.0,17,2
Faseb journal,http://www.fasebj.org/,UNITED STATES,John Wiley & Sons,English,1987.0,7,2
Fashion theory: the journal of dress body and culture,https://www.tandfonline.com/journals/rfft20,UNITED KINGDOM,Taylor & Francis,English,1997.0,22,2
Febs journal,http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291742-4658,UNITED KINGDOM,Wiley-Blackwell,English,2005.0,7,2
Feminist criminology,http://www.sagepub.com/journals/Journal201772/foreign#tabview=title,UNITED STATES,SAGE,English,2006.0,19,2
Feminist legal studies,http://springerlink.metapress.com/openurl.asp?genre=journal&amp;issn=0966-3622,NETHERLANDS,Springer Nature,English,1993.0,19,2
Feminist media studies,http://www.tandfonline.com/toc/rfms20/current,UNITED KINGDOM,Routledge,English,2001.0,17,2
Feminist review,http://www.palgrave-journals.com/fr,UNITED KINGDOM,SAGE,English,1979.0,17,2
Feminist studies,http://www.feministstudies.org,UNITED STATES,Feminist Studies,English,1972.0,17,2
Feminist theory,http://fty.sagepub.com/,UNITED KINGDOM,SAGE,English,2000.0,17,3
Fems microbiology reviews,https://academic.oup.com/femsre,UNITED KINGDOM,Oxford University Press,English,1985.0,7,2
